"1";"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";"14.02.2006"
"2";"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";"14.02.2006"
"3";"LINDA";"WILLIAMS";"LINDA.WILLIAMS@sakilacustomer.org";"14.02.2006"
"4";"BARBARA";"JONES";"BARBARA.JONES@sakilacustomer.org";"14.02.2006"
"5";"ELIZABETH";"BROWN";"ELIZABETH.BROWN@sakilacustomer.org";"14.02.2006"
"6";"JENNIFER";"DAVIS";"JENNIFER.DAVIS@sakilacustomer.org";"14.02.2006"
"7";"MARIA";"MILLER";"MARIA.MILLER@sakilacustomer.org";"14.02.2006"
"8";"SUSAN";"WILSON";"SUSAN.WILSON@sakilacustomer.org";"14.02.2006"
"9";"MARGARET";"MOORE";"MARGARET.MOORE@sakilacustomer.org";"14.02.2006"
"10";"DOROTHY";"TAYLOR";"DOROTHY.TAYLOR@sakilacustomer.org";"14.02.2006"
"11";"LISA";"ANDERSON";"LISA.ANDERSON@sakilacustomer.org";"14.02.2006"
"12";"NANCY";"THOMAS";"NANCY.THOMAS@sakilacustomer.org";"14.02.2006"
"13";"KAREN";"JACKSON";"KAREN.JACKSON@sakilacustomer.org";"14.02.2006"
"14";"BETTY";"WHITE";"BETTY.WHITE@sakilacustomer.org";"14.02.2006"
"15";"HELEN";"HARRIS";"HELEN.HARRIS@sakilacustomer.org";"14.02.2006"
"16";"SANDRA";"MARTIN";"SANDRA.MARTIN@sakilacustomer.org";"14.02.2006"
"17";"DONNA";"THOMPSON";"DONNA.THOMPSON@sakilacustomer.org";"14.02.2006"
"18";"CAROL";"GARCIA";"CAROL.GARCIA@sakilacustomer.org";"14.02.2006"
"19";"RUTH";"MARTINEZ";"RUTH.MARTINEZ@sakilacustomer.org";"14.02.2006"
"20";"SHARON";"ROBINSON";"SHARON.ROBINSON@sakilacustomer.org";"14.02.2006"
"21";"MICHELLE";"CLARK";"MICHELLE.CLARK@sakilacustomer.org";"14.02.2006"
"22";"LAURA";"RODRIGUEZ";"LAURA.RODRIGUEZ@sakilacustomer.org";"14.02.2006"
"23";"SARAH";"LEWIS";"SARAH.LEWIS@sakilacustomer.org";"14.02.2006"
"24";"KIMBERLY";"LEE";"KIMBERLY.LEE@sakilacustomer.org";"14.02.2006"
"25";"DEBORAH";"WALKER";"DEBORAH.WALKER@sakilacustomer.org";"14.02.2006"
"26";"JESSICA";"HALL";"JESSICA.HALL@sakilacustomer.org";"14.02.2006"
"27";"SHIRLEY";"ALLEN";"SHIRLEY.ALLEN@sakilacustomer.org";"14.02.2006"
"28";"CYNTHIA";"YOUNG";"CYNTHIA.YOUNG@sakilacustomer.org";"14.02.2006"
"29";"ANGELA";"HERNANDEZ";"ANGELA.HERNANDEZ@sakilacustomer.org";"14.02.2006"
"30";"MELISSA";"KING";"MELISSA.KING@sakilacustomer.org";"14.02.2006"
"31";"BRENDA";"WRIGHT";"BRENDA.WRIGHT@sakilacustomer.org";"14.02.2006"
"32";"AMY";"LOPEZ";"AMY.LOPEZ@sakilacustomer.org";"14.02.2006"
"33";"ANNA";"HILL";"ANNA.HILL@sakilacustomer.org";"14.02.2006"
"34";"REBECCA";"SCOTT";"REBECCA.SCOTT@sakilacustomer.org";"14.02.2006"
"35";"VIRGINIA";"GREEN";"VIRGINIA.GREEN@sakilacustomer.org";"14.02.2006"
"36";"KATHLEEN";"ADAMS";"KATHLEEN.ADAMS@sakilacustomer.org";"14.02.2006"
"37";"PAMELA";"BAKER";"PAMELA.BAKER@sakilacustomer.org";"14.02.2006"
"38";"MARTHA";"GONZALEZ";"MARTHA.GONZALEZ@sakilacustomer.org";"14.02.2006"
"39";"DEBRA";"NELSON";"DEBRA.NELSON@sakilacustomer.org";"14.02.2006"
"40";"AMANDA";"CARTER";"AMANDA.CARTER@sakilacustomer.org";"14.02.2006"
"41";"STEPHANIE";"MITCHELL";"STEPHANIE.MITCHELL@sakilacustomer.org";"14.02.2006"
"42";"CAROLYN";"PEREZ";"CAROLYN.PEREZ@sakilacustomer.org";"14.02.2006"
"43";"CHRISTINE";"ROBERTS";"CHRISTINE.ROBERTS@sakilacustomer.org";"14.02.2006"
"44";"MARIE";"TURNER";"MARIE.TURNER@sakilacustomer.org";"14.02.2006"
"45";"JANET";"PHILLIPS";"JANET.PHILLIPS@sakilacustomer.org";"14.02.2006"
"46";"CATHERINE";"CAMPBELL";"CATHERINE.CAMPBELL@sakilacustomer.org";"14.02.2006"
"47";"FRANCES";"PARKER";"FRANCES.PARKER@sakilacustomer.org";"14.02.2006"
"48";"ANN";"EVANS";"ANN.EVANS@sakilacustomer.org";"14.02.2006"
"49";"JOYCE";"EDWARDS";"JOYCE.EDWARDS@sakilacustomer.org";"14.02.2006"
"50";"DIANE";"COLLINS";"DIANE.COLLINS@sakilacustomer.org";"14.02.2006"
"51";"ALICE";"STEWART";"ALICE.STEWART@sakilacustomer.org";"14.02.2006"
"52";"JULIE";"SANCHEZ";"JULIE.SANCHEZ@sakilacustomer.org";"14.02.2006"
"53";"HEATHER";"MORRIS";"HEATHER.MORRIS@sakilacustomer.org";"14.02.2006"
"54";"TERESA";"ROGERS";"TERESA.ROGERS@sakilacustomer.org";"14.02.2006"
"55";"DORIS";"REED";"DORIS.REED@sakilacustomer.org";"14.02.2006"
"56";"GLORIA";"COOK";"GLORIA.COOK@sakilacustomer.org";"14.02.2006"
"57";"EVELYN";"MORGAN";"EVELYN.MORGAN@sakilacustomer.org";"14.02.2006"
"58";"JEAN";"BELL";"JEAN.BELL@sakilacustomer.org";"14.02.2006"
"59";"CHERYL";"MURPHY";"CHERYL.MURPHY@sakilacustomer.org";"14.02.2006"
"60";"MILDRED";"BAILEY";"MILDRED.BAILEY@sakilacustomer.org";"14.02.2006"
"61";"KATHERINE";"RIVERA";"KATHERINE.RIVERA@sakilacustomer.org";"14.02.2006"
"62";"JOAN";"COOPER";"JOAN.COOPER@sakilacustomer.org";"14.02.2006"
"63";"ASHLEY";"RICHARDSON";"ASHLEY.RICHARDSON@sakilacustomer.org";"14.02.2006"
